,行動卡名稱,顏色,種類,強度,購買費用,行動卡效果,提供資源,位置,行動卡意涵,卡牌張數,,,,,,,,,,,,,,,
1,追隨者,灰,宣傳,丙級,無,無效果。,宣傳1,起始牌,追隨您的志士,35,,,,,,,,,,,,,,,
2,宣傳家,灰,宣傳,乙級,宣傳3,打出可移除本牌。若移除本牌，可於己方組織1格內建立1個組織，並進行1次組織遷移。,宣傳2,常設購買區,擅於宣傳的辯士,15,,,,,,,,,,,,,,,
3,思想家,灰,宣傳,甲級,宣傳5,打出可移除本牌。若移除本牌，可無視距離於己方發展空間建立1個組織，並進行3次組織遷移。,宣傳3,常設購買區,締造革命理論的智者,15,,,,,,,,,,,,,,,
4,樂捐者,銅,資金,丙級,無,無效果。,資金1,起始牌,贊助您事業的善心人,15,,,,,,,,,,,,,,,
5,資助者,銅,資金,乙級,資金2+宣傳1,打出可移除本牌。若移除本牌，獲得2點資金與2點宣傳。,資金2,常設購買區,贊助您事業的中產階級,15,,,,,,,,,,,,,,,
6,資本家,銅,資金,甲級,資金3+宣傳2,打出可移除本牌。若移除本牌，獲得3點資金與3點宣傳。,資金3,常設購買區,贊助您事業的企業家,15,,,,,,,,,,,,,,,
7,分神,紫,混亂,乙級,無,無效果。打出可移除本牌。,無,常設購買區（可視為起始牌）,有其它事情迫使你分散心力,30,,,,,,,,,,,,,,,
8,內鬥,紫,混亂,丙級,無,無效果。,無,常設購買區（可視為起始牌）,內部鬥爭令組織效率低落,20,,,,,,,,,,,,,,,
10,交通經驗丙,青,交通,丙級,資金1,進行2次組織遷移。,資金1,隨機購買區,轉移組織到其它城鎮,7,,,,,,,,,,,,,,,
11,交通經驗乙,青,交通,乙級,資金3,進行4次組織遷移。,資金2,隨機購買區,靈活改變組織部署,5,,,,,,,,,,,,,,,
12,交通經驗甲,青,交通,甲級,資金5,進行6次組織遷移。,資金3,隨機購買區,大規模變更組織部署,3,,,,,,,,,,,,,,,
13,領導,藍,指揮,丙級,宣傳1,抽1張牌。,宣傳1,隨機購買區,帶領幹部們採取行動,7,,,,,,,,,,,,,,,
14,謀劃,藍,指揮,乙級,資金1+宣傳1,抽2張牌。,宣傳2,隨機購買區,深思熟慮後運用計謀,5,,,,,,,,,,,,,,,
15,戰略,藍,指揮,甲級,資金1+宣傳2,抽3張牌。,宣傳3,隨機購買區,針對敵我情勢的長遠規劃,3,,,,,,,,,,,,,,,
16,合作談判,藍,指揮,乙級,資金2+宣傳2,選擇任1位玩家，您與該玩家各抽1張牌。您獲得2點宣傳。,宣傳1,隨機購買區,有建設性的合作提議,5,,,,,,,,,,,,,,,
17,高效行動,藍,指揮,乙級,資金2+宣傳2,抽3張牌，再從所有手牌中棄掉任2張牌。,資金1+宣傳1,隨機購買區,捨棄效率低落的努力方向,5,,,,,,,,,,,,,,,
18,模仿戰術,藍,指揮,乙級,宣傳4,選擇1位玩家展示其牌庫頂牌，本回合您可以使用該牌。使用後將該牌放回擁有者的牌庫頂。,宣傳2,隨機購買區,師敵之長計以制敵,5,,,,,,,,,,,,,,,
19,乘勝追擊,藍,指揮,乙級,資金2,從己方棄牌堆任選1張費用3點以下的牌加入手牌。,資金1,隨機購買區,延續有效的作戰方式,5,,,,,,,,,,,,,,,
20,擴大戰果,藍,指揮,甲級,資金4,從己方棄牌堆任選1張牌加入手牌。,資金2,隨機購買區,擴大實施有效的作戰方式,5,,,,,,,,,,,,,,,
21,誘導虛耗,藍,指揮,乙級,宣傳3,抽1張牌。打出可移除本牌。若移除本牌，可選擇1位玩家，由該玩家選1張手牌棄掉。,宣傳1,隨機購買區,誘導敵人浪費心力應付佯攻,5,,,,,,,,,,,,,,,
22,點燃熱情,藍,指揮,乙級,資金1+宣傳2,抽1張牌。若本回合曾打出其它購買費用有宣傳的牌，則額外再抽1張牌。,宣傳1,隨機購買區,革命工作的推展激勵人心,5,,,,,,,,,,,,,,,
23,樹立信心,藍,指揮,乙級,資金2+宣傳1,抽1張牌。若本回合曾打出其它購買費用有資金的牌，則額外再抽1張牌。,資金1,隨機購買區,強力行動引來更多支援,5,,,,,,,,,,,,,,,
24,網羅人才,藍,指揮,乙級,資金3+宣傳2,從己方牌庫任選1張牌加入手牌，而後將牌庫洗牌。若您為紅軍，則從己方牌庫或棄牌堆任選1張牌加入手牌，而後將牌庫洗牌,資金1+宣傳1,隨機購買區,遍尋所需的人才或支援,3,,,,,,,,,,,,,,,
25,凝聚共識,藍,指揮,甲級,宣傳5,抽3張牌，再從所有手牌中棄掉任2張牌；若棄掉的牌均非起始牌，則獲得2點宣傳。,宣傳3,隨機購買區,呼籲集中心力投入當前路線,5,,,,,,,,,,,,,,,
26,思想建設,藍,指揮,乙級,宣傳1+資金1,抽1張牌。本回合己方可建立組織的距離額外增加1格。,宣傳1,隨機購買區,將思想融入到群眾工作,5,,,,,,,,,,,,,,,
27,派遣間諜,綠,間諜,丙級,資金2+宣傳1,以瓦解1個己方組織為代價，瓦解該組織1格內的1個對手組織。,宣傳1,隨機購買區,受命遣入敵境的諜員,5,,,,,,,,,,,,,,,
28,內應間諜,綠,間諜,乙級,資金3+宣傳2,瓦解己方組織1格內的1個對手組織。,宣傳2,隨機購買區,心向我方的敵營人士,3,,,,,,,,,,,,,,,
29,情報網,綠,間諜,甲級,宣傳3+資金3,以下效果三選一：Ａ在至多3位玩家棄牌堆各放入1張內鬥。Ｂ瓦解己方組織1格內的1個對手組織。Ｃ其他玩家行動時打出，取消1張對方所打出行動卡之能力。,資金1+宣傳1,隨機購買區,人脈四通八達的情報站,3,,,,,,,,,,,,,,,
30,離間,綠,間諜,乙級,宣傳4,在至多3位玩家棄牌堆各放入1張內鬥。,宣傳2,隨機購買區,釋放耳語讓敵人疑神疑鬼,5,,,,,,,,,,,,,,,
31,走漏風聲,綠,間諜,乙級,資金2,選擇1位玩家棄掉其牌庫頂牌，若該牌購買費用為1點以上，則將1張內鬥放進該玩家棄牌堆。,宣傳1,隨機購買區,洩密打亂了敵營的計畫,5,,,,,,,,,,,,,,,
32,地下黨,綠,間諜,甲級,資金2+宣傳4,從購買區牌庫頂拿取3張牌，任選其中1張加入手牌，其餘移除。,資金1+宣傳2,隨機購買區,假扮成敵人來占用敵營資源,3,,,,,,,,,,,,,,,
