奧援卡名稱,購買費用,區域主導者優待,III級效果,區域主導者優待,II級效果,未滿足任何條件,I級效果,卡牌張數,,,,,,,,,,,,,,,,,
英美奧援,1資金+2宣傳,英美,獲得3點資金。,歐洲、天方,獲得2點資金。,未滿足任何條件,獲得1點資金。,4,,,,,,,,,,,,,,,,,
英美奧援,1資金+2宣傳,英美,獲得3點資金。,東洋、臺灣,獲得2點資金。,未滿足任何條件,獲得1點資金。,4,,,,,,,,,,,,,,,,,
東洋奧援,1資金+2宣傳,東洋,在牆內無視距離於己方發展空間建立1個組織。,臺灣、南洋,在牆內於己方組織1格內建立1個組織。,未滿足任何條件,獲得2點宣傳。,4,,,,,,,,,,,,,,,,,
東洋奧援,1資金+2宣傳,東洋,在牆內無視距離於己方發展空間建立1個組織。,北國、英美,在牆內於己方組織1格內建立1個組織。,未滿足任何條件,獲得2點宣傳。,4,,,,,,,,,,,,,,,,,
南洋奧援,1資金+2宣傳,南洋,抽2張牌。,臺灣、東洋,抽1張牌。,未滿足任何條件,抽1張牌，再從所有手牌中棄掉1張牌。,4,,,,,,,,,,,,,,,,,
南洋奧援,1資金+2宣傳,南洋,抽2張牌。,印度、天方,抽1張牌。,未滿足任何條件,抽1張牌，再從所有手牌中棄掉1張牌。,4,,,,,,,,,,,,,,,,,
印度奧援,1資金+2宣傳,印度,將3張分神放進紅軍棄牌堆。,南洋、英美,將2張分神放進紅軍棄牌堆。,未滿足任何條件,將1張分神放進紅軍棄牌堆。,4,,,,,,,,,,,,,,,,,
印度奧援,1資金+2宣傳,印度,將3張分神放進紅軍棄牌堆。,天方、北國,將2張分神放進紅軍棄牌堆。,未滿足任何條件,將1張分神放進紅軍棄牌堆。,4,,,,,,,,,,,,,,,,,
天方奧援,1資金+2宣傳,天方,選擇有組織位在己方組織1格內的玩家，由您隨機選2張手牌棄掉。,印度、南洋,選擇有組織位在己方組織1格內的玩家，由您隨機選1張手牌棄掉。,未滿足任何條件,選擇有組織位在己方組織1格內的玩家，由該玩家選1張手牌棄掉。,4,,,,,,,,,,,,,,,,,
天方奧援,1資金+2宣傳,天方,選擇有組織位在己方組織1格內的玩家，由您隨機選2張手牌棄掉。,北國、歐洲,選擇有組織位在己方組織1格內的玩家，由您隨機選1張手牌棄掉。,未滿足任何條件,選擇有組織位在己方組織1格內的玩家，由該玩家選1張手牌棄掉。,4,,,,,,,,,,,,,,,,,
歐洲奧援,1資金+2宣傳,歐洲,獲得4點宣傳。,北國、天方,獲得3點宣傳。,未滿足任何條件,獲得2點宣傳。,4,,,,,,,,,,,,,,,,,
歐洲奧援,1資金+2宣傳,歐洲,獲得4點宣傳。,英美、南洋,獲得3點宣傳。,未滿足任何條件,獲得2點宣傳。,4,,,,,,,,,,,,,,,,,
北國奧援,1資金+2宣傳,北國,瓦解己方組織1格內的2個對手組織。,歐洲、東洋,瓦解己方組織1格內的1個對手組織。,未滿足任何條件,以瓦解1個己方組織為代價，瓦解該組織1格內的1個對手組織。,4,,,,,,,,,,,,,,,,,
北國奧援,1資金+2宣傳,北國,瓦解己方組織1格內的2個對手組織。,天方、印度,瓦解己方組織1格內的1個對手組織。,未滿足任何條件,以瓦解1個己方組織為代價，瓦解該組織1格內的1個對手組織。,4,,,,,,,,,,,,,,,,,
臺灣奧援,1資金+2宣傳,臺灣,瓦解己方組織1格內的1個對手組織，並在該城鎮建立1個組織,東洋、南洋,瓦解己方組織1格內的1個對手組織。,未滿足任何條件,獲得1點宣傳。,4,,,,,,,,,,,,,,,,,
臺灣奧援,1資金+2宣傳,臺灣,瓦解己方組織1格內的1個對手組織，並在該城鎮建立1個組織,英美、歐洲,瓦解己方組織1格內的1個對手組織。,未滿足任何條件,獲得1點宣傳。,4,,,,,,,,,,,,,,,,,
紅軍奧援,起始牌,提供資源：1資金+1宣傳。卡牌效果：抽1張牌。若您為紅軍，打出後將本牌放進任一反共陣營玩家棄牌堆；若您為反共陣營玩家，打出後將本牌放進紅軍棄牌堆。,,,,,,1,,,,,,,,,,,,,,,,,
