index,name,source_width,source_height,focal_y,crop_left,crop_top,crop_right,crop_bottom,output_width,output_height,review_status
1,追隨者,1536,1024,300,0,47,1536,769,996,468,pass_head_safe_2026-07-26
2,宣傳家,1024,1536,374,0,206,1024,687,996,468,pass_head_safe_2026-07-26
3,思想家,1024,1536,350,0,182,1024,663,996,468,pass_head_safe_2026-07-26
4,樂捐者,1024,1536,330,0,162,1024,643,996,468,pass_head_safe_2026-07-26
5,資助者,1024,1536,355,0,187,1024,668,996,468,pass_head_safe_2026-07-26
6,資本家,1024,1536,335,0,167,1024,648,996,468,pass_head_safe_2026-07-26
7,分神,1024,1536,352,0,184,1024,665,996,468,pass_head_safe_2026-07-26
8,內鬥,1024,1536,305,0,137,1024,618,996,468,pass_head_safe_2026-07-26
9,交通經驗丙,1536,1024,270,0,17,1536,739,996,468,pass_head_safe_2026-07-26
10,交通經驗乙,1536,1024,520,0,267,1536,989,996,468,pass_head_safe_2026-07-26
11,交通經驗甲,1024,1536,520,0,352,1024,833,996,468,pass_head_safe_2026-07-26
12,領導,1024,1536,350,0,182,1024,663,996,468,pass_head_safe_2026-07-26
13,謀劃,1536,1024,255,0,2,1536,724,996,468,pass_head_safe_2026-07-26
14,戰略,1024,1536,330,0,162,1024,643,996,468,pass_head_safe_2026-07-26
15,合作談判,1024,1536,305,0,137,1024,618,996,468,pass_head_safe_2026-07-26
16,高效行動,1024,1536,370,0,202,1024,683,996,468,pass_head_safe_2026-07-26
17,模仿戰術,1024,1536,305,0,137,1024,618,996,468,pass_head_safe_2026-07-26
18,乘勝追擊,1024,1536,345,0,177,1024,658,996,468,pass_head_safe_2026-07-26
19,擴大戰果,1024,1536,320,0,152,1024,633,996,468,pass_head_safe_2026-07-26
20,誘導虛耗,1024,1536,510,0,342,1024,823,996,468,pass_head_safe_2026-07-26
21,點燃熱情,1024,1536,410,0,242,1024,723,996,468,pass_head_safe_2026-07-26
22,樹立信心,1024,1536,300,0,132,1024,613,996,468,pass_head_safe_2026-07-26
23,網羅人才,1024,1536,480,0,312,1024,793,996,468,pass_head_safe_2026-07-26
24,凝聚共識,1024,1536,365,0,197,1024,678,996,468,pass_head_safe_2026-07-26
25,思想建設,1024,1536,360,0,192,1024,673,996,468,pass_head_safe_2026-07-26
26,派遣間諜,1024,1536,310,0,142,1024,623,996,468,pass_head_safe_2026-07-26
27,內應間諜,1024,1536,450,0,282,1024,763,996,468,pass_head_safe_2026-07-26
28,情報網,1024,1536,630,0,462,1024,943,996,468,pass_head_safe_2026-07-26
29,離間,1024,1536,545,0,377,1024,858,996,468,pass_head_safe_2026-07-26
30,走漏風聲,1024,1536,345,0,177,1024,658,996,468,pass_head_safe_2026-07-26
31,地下黨,1024,1536,385,0,217,1024,698,996,468,pass_head_safe_2026-07-26
32,組織經驗丙,1024,1536,500,0,332,1024,813,996,468,pass_head_safe_2026-07-26
33,組織經驗乙,1024,1536,385,0,217,1024,698,996,468,pass_head_safe_2026-07-26
34,組織經驗甲,1024,1536,700,0,532,1024,1013,996,468,pass_head_safe_2026-07-26
35,批判,1024,1536,425,0,257,1024,738,996,468,pass_head_safe_2026-07-26
36,批鬥,1024,1536,410,0,242,1024,723,996,468,pass_head_safe_2026-07-26
37,武裝者,1024,1536,305,0,137,1024,618,996,468,pass_head_safe_2026-07-26
38,武裝小隊,1023,1537,350,0,182,1023,663,996,468,pass_head_safe_2026-07-26
39,武裝集團,1024,1536,250,0,82,1024,563,996,468,pass_head_safe_2026-07-26
40,爆料黑幕,1024,1536,290,0,122,1024,603,996,468,pass_head_safe_2026-07-26
41,輿論丕變,1024,1536,380,0,212,1024,693,996,468,pass_head_safe_2026-07-26
42,行動預告,1024,1536,300,0,132,1024,613,996,468,pass_head_safe_2026-07-26
43,企業人脈,1024,1536,250,0,82,1024,563,996,468,pass_head_safe_2026-07-26
44,產業滲透,1024,1536,345,0,177,1024,658,996,468,pass_head_safe_2026-07-26
45,企畫遊說,1024,1536,225,0,57,1024,538,996,468,pass_head_safe_2026-07-26
46,行動募資,1024,1536,380,0,212,1024,693,996,468,pass_head_safe_2026-07-26
